232,228,234,235,239,247,252,255,253,251,253;
243,240,247,254,250,255,248,246,245,245,246;
249,245,246,249,248,255,254,254,255,250,253;
253,247,248,245,247,255,252,253,248,247,252;
251,240,239,239,249,255,254,250,249,248,253;
251,247,247,243,244,244,244,249,251,248,255;
242,235,234,239,243,248,251,255,250,248,254;
245,243,249,249,251,251,255,246,250,249,254;
252,248,251,249,253,250,248,251,252,251,255;
242,237,237,239,251,255,251,249,246,244,250;
254,247,247,255,250,246,251,249,251,249,253;
242,237,236,237,248,255,250,244,245,244,247;
254,247,253,255,249,254,251,250,250,245,251;
252,246,247,245,251,253,252,255,249,246,251;
245,239,234,240,246,250,251,247,250,250,255;
243,241,247,247,250,252,253,253,250,250,255;
247,244,245,247,252,252,252,255,249,246,250;
249,249,248,250,250,255,251,245,243,241,247;
240,231,232,238,241,250,255,253,245,246,251;
252,246,247,250,249,249,249,251,252,253,255;
238,232,229,239,243,251,255,253,251,248,253;
247,243,248,249,252,255,251,247,247,245,251;
248,243,245,249,252,249,252,255,246,246,252;
255,247,247,248,246,253,254,252,248,242,248;
245,242,249,248,253,249,255,249,247,243,247;
248,242,246,248,249,250,250,251,246,246,255;
243,237,234,232,241,244,247,252,247,250,255;
255,251,253,251,253,251,253,253,253,251,252;
243,240,238,241,240,246,250,249,253,254,255;
248,246,251,252,252,255,254,253,254,251,254;
241,235,238,242,250,255,249,251,248,241,245;
247,246,246,246,248,251,247,249,248,246,255;
246,240,235,240,241,242,245,247,249,248,255;
244,240,241,243,245,248,249,252,252,254,255;
248,245,248,252,248,248,254,255,254,250,253;
255,249,245,246,250,251,243,250,252,247,254;
244,239,239,245,247,250,248,252,250,251,255;
235,229,236,237,241,252,249,250,255,248,253;
247,243,250,255,251,248,249,248,246,244,251;
240,236,246,251,251,248,245,247,241,245,255;
248,245,248,243,246,255,253,253,250,247,250;
253,244,243,245,242,248,254,248,246,250,255;
246,240,247,249,247,253,248,254,248,245,255;
255,252,253,247,250,252,254,251,251,244,254;
231,231,231,242,247,253,255,254,248,241,246;
246,241,244,248,252,251,252,255,250,250,253;
252,251,250,250,253,253,252,253,254,254,255;
247,247,250,243,246,250,255,251,250,248,253;
253,241,239,251,251,255,249,249,243,237,244;
248,237,236,238,244,249,255,247,244,240,244;
243,238,240,242,247,244,251,252,251,247,255;
248,238,235,239,236,246,248,250,253,251,255;
240,237,243,248,242,247,245,251,252,251,255;
237,234,241,242,247,255,252,250,252,251,252;
240,237,241,245,250,255,249,251,248,245,247;
255,248,249,241,244,242,251,250,251,249,254;
244,241,242,244,244,248,248,248,246,249,255;
248,247,246,249,250,250,245,248,246,250,255;
237,231,240,249,247,255,254,254,252,246,251;
246,243,242,243,248,255,251,251,248,250,254;
252,247,250,247,255,252,253,250,248,245,251;
246,237,239,237,236,242,239,245,247,246,255;
254,254,254,255,254,254,254,252,251,250,249;
244,243,244,244,246,249,252,253,251,249,255;
252,246,253,251,252,254,255,253,253,248,249;
252,249,255,249,251,253,252,253,246,244,248;
250,248,248,251,254,253,255,251,252,251,254;
255,252,253,252,253,252,250,250,247,247,248;
